date,name,size,density
2016-05,Foundry.Group,4,0.6
2016-01,Foundry.Group,0,0.0
2016-04,Foundry.Group,0,0.0
2014-11,Foundry.Group,7,0.42857142857142855
2015-06,Foundry.Group,20,0.26842105263157895
2016-06,Foundry.Group,0,0.0
2015-10,Foundry.Group,3,0.6666666666666666
2014-09,Foundry.Group,0,0.0
2015-02,Foundry.Group,4,1.0
2016-07,Foundry.Group,4,0.7
2015-12,Foundry.Group,0,0.0
2014-10,Foundry.Group,1,1.0
2015-04,Foundry.Group,7,0.47619047619047616
2014-08,Foundry.Group,3,1.0
2016-03,Foundry.Group,6,0.5714285714285714
2015-08,Foundry.Group,8,0.6071428571428571
2016-02,Foundry.Group,0,0.0
2015-09,Qualcomm.Ventures,13,0.5054945054945055
2015-11,Qualcomm.Ventures,2,1.0
2015-01,Qualcomm.Ventures,17,0.3088235294117647
2014-12,Qualcomm.Ventures,2,1.0
2015-05,Qualcomm.Ventures,1,1.0
2015-07,Qualcomm.Ventures,5,1.0
2015-03,Qualcomm.Ventures,9,0.6888888888888889
2016-05,Qualcomm.Ventures,0,0.0
2016-01,Qualcomm.Ventures,1,1.0
2016-04,Qualcomm.Ventures,6,1.0
2014-11,Qualcomm.Ventures,0,0.0
2015-06,Qualcomm.Ventures,15,0.36666666666666664
2016-06,Qualcomm.Ventures,2,0.6666666666666666
2015-10,Qualcomm.Ventures,1,1.0
2014-09,Qualcomm.Ventures,5,0.8
2015-02,Qualcomm.Ventures,10,0.36363636363636365
2016-07,Qualcomm.Ventures,0,0.0
2015-12,Qualcomm.Ventures,5,0.5333333333333333
2014-10,Qualcomm.Ventures,4,0.7
2015-04,Qualcomm.Ventures,13,0.2967032967032967
2014-08,Qualcomm.Ventures,3,0.6666666666666666
2016-03,Qualcomm.Ventures,3,0.5
2015-08,Qualcomm.Ventures,1,1.0
2016-02,Qualcomm.Ventures,4,1.0
2015-09,Battery.Ventures,16,0.43956043956043955
2015-11,Battery.Ventures,10,0.4727272727272727
2015-01,Battery.Ventures,11,0.3787878787878788
2014-12,Battery.Ventures,0,0.0
2015-05,Battery.Ventures,0,0.0
2015-07,Battery.Ventures,4,0.7
2015-03,Battery.Ventures,2,1.0
2016-05,Battery.Ventures,9,0.35555555555555557
2016-01,Battery.Ventures,18,0.30833333333333335
2016-04,Battery.Ventures,1,1.0
2014-11,Battery.Ventures,9,0.4888888888888889
2015-06,Battery.Ventures,21,0.3473684210526316
2016-06,Battery.Ventures,12,0.32051282051282054
2015-10,Battery.Ventures,13,0.5641025641025641
2014-09,Battery.Ventures,5,0.6
2015-02,Battery.Ventures,4,0.8333333333333334
2016-07,Battery.Ventures,1,1.0
2015-12,Battery.Ventures,7,0.7857142857142857
2014-10,Battery.Ventures,2,1.0
2015-04,Battery.Ventures,0,0.0
2014-08,Battery.Ventures,3,0.6666666666666666
2016-03,Battery.Ventures,0,0.0
2015-08,Battery.Ventures,23,0.308300395256917
2016-02,Battery.Ventures,2,0.6666666666666666
2015-09,WI.Harper.Group,3,0.6666666666666666
2015-11,WI.Harper.Group,0,0.0
2015-01,WI.Harper.Group,5,0.8
2014-12,WI.Harper.Group,0,0.0
2015-05,WI.Harper.Group,2,1.0
2015-07,WI.Harper.Group,0,0.0
